id,_origin,name_JP,unit_JP,name,unit,tiles,skins,parse,vals,sort,trait,LV,chance,value,weight,recipeKey,factory,components,defMat,category,tag,detail_JP,detail
1253,potion,育毛剤,,hair growth tonic,,4901,,no_color,,drink_potion,"Potion,HairGrowth,100",15,0,6000,,,tool_alchemy,"mercury,#milk/4,+neutralizer",,,"drug,craft_bonus/purity/5",頭に塗ると毛が生えてくるとされる伝説の薬だ。,A legendary remedy said to make hair grow when applied to the scalp.
1254,potion,産卵薬,,egg laying,potion,4902,,no_color,,drink_potion,"Potion,LovePlus,200",30,0,10000,,,tool_alchemy,"lovepotion/2,#booze,+neutralizer",,,"drug,craft_bonus/purity/20",飲むと産気づく薬だ。,A potion that induces labor when taken.
1300,potion,血のエリクシル,,blood,elixir,4908,,unique,,drink_potion,"Potion,TransBlood",20,0,4400,,,tool_alchemy,"mercury,bloodsample",,,noShop,飲むと血の風味が変わる薬だ。,A potion that alters the flavor of your blood when you drink it.
1142,potion,塩水,,salt water,potion,,,,,drink_potion,"Potion,SaltWater,100",1,,100,,*,tool_alchemy,"potion_empty,water|water_dirty,salt,+neutralizer",,,drug,,
454,brewery,,,,,2801,,alt/2901,,factory,,,,,,Farris,,,,,,,
455,brewery,,,,,2802,,alt/2902,,factory,,,,,,,,,,,,,
453,brewery,,,,,,,alt/2900,,factory,,,,,,,,,,,,,
468,furance,,,,,1619,,,,factory,,,,,,StarterEx,,,,,,,
466,furance,,,,,,,,,factory,,,,,,,,,,,,,
467,oven,,,,,1618,,,,factory,,,,,,StarterEx,,,,,,,
469,oven,,,,,1620,,,,factory,,,,,,,,,,,,,
1015,balloon,,,,,"616,617,618,619",,,,furniture,,,,,,,,,,,,,
1016,balloon,,,,,"516,517,518,519",,,,furniture,,,,,,,,,,,,,
1,bank,ブタの貯金箱,,piggy bank,,1606,,,,furniture,,,,,,,,,,,,,
2,bank,ネコの貯金箱,,kitten bank,,1607,,,,furniture,,,,,,,,,,,,,
452,bathtub,石のバスタブ,,stone bathtub,,1827,,,,furniture,,18,,4800,,,factory_stone,"cutstone/16,#drink/20",granite,,,,
451,bathtub,,,,,,,,,furniture,,20,,6000,,,factory_metal,"ingot/5,glass/2,#drink/20",plastic,,,,
971,bookshelf,,,,,,,,,furniture,,,,,,,,,,,,,
1184,bookshelf,,,,,1319,,,,furniture,,,,,,,,,,,,,
972,bookshelf,,,,,1219,,,,furniture,,,,,,,,,,,,,
1023,bookshelf,,,,,1520,,,,furniture,,,,,,,,,rosewood,,,,
1240,bookshelf,,,,,1210,,,,furniture,,,,,,,,,oak,,,,
10,cabinet,,,rich cabinet,,1402,,,,furniture,,,,,,,,,mahogany,,,,
12,cabinet,ワードローブ,,wardrobe,,1820,,,,furniture,,,,3200,,,factory_metal,"ingot/3,microchip/2",plastic,,,,
11,cabinet,石の箪笥,,stone cabinet,,1831,,,,furniture,,,,450,,,factory_stone,cutstone/8,granite,,,,
9,cabinet,,,,,,,,,furniture,,,,,,,,,,,,,
1185,cabinet,,,,,1318,,,,furniture,,,,,,,,,,,,,
760,carpet,,,,,2100,,,,furniture,,,,,,,,dye,rubinus,,,,
761,carpet,,,,,2101,,,,furniture,,,,,,,,grass,straw,,,,
762,carpet,,,,,2102,,,,furniture,,,,,,,,dye,rubinus,,,,
763,carpet,,,,,2103,,,,furniture,,,,,,,,,hide,,,,
764,carpet,,,,,2104,,,,furniture,,,,,,,,,scale,,,,
1241,carpet,,,,,"2112,-2112,2113,-2113",,,,furniture,,,,,,,,,wool,,,,
1159,carpet,スローイングサークル,,throwing circle,,2108,,anime/3/500,,furniture,BasketGame,,,,,,,,scale,,,,
755,case,,,,,644,,,,furniture,,,,,,,,,,,,,
756,case,,,,,645,,,,furniture,,,,,,,,,,,,,
653,chimney,,,,,640,,,,furniture,,,,,,,,,,,,,
655,chimney,,,,,643,,,,furniture,,,,,,,,,,,,,
654,chimney,,,,,"638,-638,639,-639",,,,furniture,,,,,,,,,,,,,
656,chimney,,,,,"641,-641,642,-642",,,,furniture,,,,,,,,,,,,,
479,furniture,高級キャビネット,,luxury cabinet,,1404,,,,furniture,,,,,,,,,mahogany,table,,,
757,furniture,高級テーブル,,luxury table,,1406,,,,furniture,,,,,,,,,mahogany,table,,,
481,furniture,メニューボード,,menu board,,1415,,,,furniture,,,,,,,,,pine,,,,
476,furniture,食器棚,,cupboard,,1417,,,,furniture,,,,,,,,,pine,container,,,
648,furniture,陳列棚,,display shelf,,1635,,alt/1632,,furniture,"Container,5,4,crate",,,,,,,,,container,,,
649,furniture,陳列棚,,display shelf,,1636,,alt/1633,,furniture,"Container,5,4,crate",,,,,,,,,container,,,
478,furniture,モダンなラック,,modern rack,,1819,,,,furniture,,,,,,,,ingot/1,plastic,container,,,
475,furniture,石の棚,,stone shelf,,1830,,,,furniture,"Container,5,4,crate",11,,380,,,factory_stone,cutstone/5,granite,container,,,
474,furniture,地図の棚,,map shelf,,2727,,alt/2726,,furniture,"Container,5,4,crate,book",,,,,,,,pine,container,,,
968,furniture,ワインセラー,,wine rack,,2729,,alt/2728,,furniture,"Container,5,4,crate,drink",,,,,,,,pine,container,,,
594,furniture,樽ラック,,barrel rack,,2803,,,,furniture,,15,,420,,,factory_metal,"ingot/2,bolt/1",iron,,,,
595,furniture,樽ラック,,barrel rack,,2804,,,,furniture,,15,,420,,,factory_metal,"ingot/2,bolt/1",iron,,,,
472,furniture,地図の箱,,map box,,2826,,alt/2827,,furniture,"Container,5,4,crate,book",,,,,,,,,container,,,
480,furniture,黒板,,blackboard,,1414,,,,furniture,,,,,,,,,,,,,
477,furniture,ラック,,rack,,1602,,,,furniture,,,,,,,,,pine,container,,,
647,furniture,陳列棚,,display shelf,,1634,,alt/1632,,furniture,"Container,5,4,crate",,,,,,,,,container,,,
645,furniture,陳列棚,,display shelf,,1637,,alt/1632,,furniture,"Container,5,4,crate",,,,,,,,,container,,,
646,furniture,陳列棚,,display shelf,,1638,,alt/1633,,furniture,"Container,5,4,crate",,,,,,,,,container,,,
488,furniture,藁の山,,straw pile,,2830,,,,furniture,"Bed,4",9,,,,,factory_wood,pasture/10,straw,ext,,,
486,furniture,水桶,,water trough,,2929,,,,furniture,,,,,,,,,,ext,,,
876,furniture,水槽,,water tank,,1538,,,,furniture,,,,,,,,rock/1,granite,ext,,,
485,furniture,飼い葉桶,,feeding trough,,2930,,,,furniture,"Container,5,2,crate",,,,,,,,,ext,,,
657,furniture,猫の像,,cat,statue,"3201,-3201,3200,-3200",,,,furniture,,,,,,,,cutstone,iron,deco,,,
658,furniture,猫の像,,cat,statue,"3204,3203",,,,furniture,,,,,,,,cutstone,iron,deco,,,
1150,furniture,狐の像,,fox,statue,"3213,-3213,3212,-3212",,,,furniture,,,,,,,,cutstone,granite,deco,exotic,,
560,furniture,旗,,flag,,716,,,,furniture,,,,,,,,dye/1,rubinus,deco,,,
748,furniture,棚,,rack,,1645,,,,furniture,,,,,,,,log/1,oak,container,,,
749,furniture,テーブル,,table,,1646,,,,furniture,,,,,,,,log/1,cedar,table,,,
765,furniture,テーブル,,table,,1649,,,,furniture,,,,,,,,log/1,cedar,table,,,
750,furniture,テーブル,,table,,1647,,,,furniture,,,,,,,,log/1,cedar,table,,,
751,furniture,机,,desk,,"1648,-1648,1748,-1748",,,,furniture,,5,,480,1600,*,factory_wood,plank/4,cedar,table,,,
819,furniture,テーブル,,table,,1650,,,,furniture,,,,,,,,log/1,cedar,table,,,
773,furniture,商品の山,,commodities,pile,1843,,,,furniture,,,,,,,,log/1,cedar,deco,,,
774,furniture,商品の山,,commodities,pile,1844,,,,furniture,,,,,,,,log/1,cedar,deco,,,
766,furniture,商品の山,,commodities,pile,1845,,,,furniture,,,,,,,,log/1,cedar,deco,,,
767,furniture,商品の山,,commodities,pile,1846,,,,furniture,,,,,,,,texture,silk,deco,,,
768,furniture,商品の山,,commodities,pile,1847,,,,furniture,,,,,,,,log/1,cedar,deco,,,
769,furniture,商品の山,,commodities,pile,1848,,,,furniture,,,,,,,,log/1,cedar,deco,,,
770,furniture,商品の山,,commodities,pile,1849,,,,furniture,,,,,,,,log/1,cedar,deco,,,
771,furniture,商品の山,,commodities,pile,1850,,,,furniture,,,,,,,,log/1,cedar,deco,,,
772,furniture,商品の山,,commodities,pile,1851,,,,furniture,,,,,,,,log/1,cedar,deco,,,
1247,furniture,飾りの女神,,decorative goddess,,1852,,,,furniture,,23,,,,,factory_stone,cutstone/4,marble,deco,,,
1306,furniture_tall,風見鶏の台,,weathercock pedestal,,1951,"1,2",,,furniture,,,,,,,,ingot,chromite,deco,randomSkin,,
1307,furniture_tall,風見鶏,,weathercock,,1957,"1,2,3,4",,,furniture,,,,,,,,plank,pine,deco,randomSkin,,
1308,furniture_tall,風見鶏の台の矢,,weathercock pedestal arrow,,1955,,,,furniture,,,,,,,,ingot,chromite,deco,randomSkin,,
812,furniture,武器の棚,,weapon rack,,1832,,alt/1932,,furniture,"Container,5,4,crate",,,,,,,log/1,cedar,container,,,
813,furniture,武器の棚,,weapon rack,,1833,,alt/1933,,furniture,"Container,5,4,crate",,,,,,,log/1,cedar,container,,,
879,furniture,食器棚,,cupboard,,1834,,,,furniture,,,,,,,,log/1,cedar,container,,,
880,furniture,ワードローブ,,wardrobe,,1835,,,,furniture,,,,,,,,log/1,cedar,container,,,
966,furniture,ワードローブ,,wardrobe,,1838,,,,furniture,,,,,,,,log/1,cedar,container,,,
881,furniture,テーブル,,table,,1836,,,,furniture,,5,,400,2200,,factory_wood,"log/2,branch/2",cedar,table,,,
882,furniture,キャビネット,,cabinet,,1837,,,,furniture,,,,,,,,log/1,cedar,container,,,
1097,furniture,キャビネット,,cabinet,,"1839,-1839,1840,-1840",,,,furniture,,,,,,,,log/1,pine,container,,,
1098,furniture,キャビネット,,cabinet,,1842,,,,furniture,,,,,,,,log/1,pine,container,,,
1102,furniture,キャビネット,,cabinet,,1742,,,,furniture,,,,,,,,log/1,pine,container,,,
1103,furniture,キャビネット,,cabinet,,1743,,,,furniture,,,,,,,,log/1,pine,container,,,
1104,furniture,キャビネット,,cabinet,,1744,,,,furniture,,,,,,,,log/1,pine,container,,,
1148,furniture,頑丈な宝箱,,sturdy treasure chest,,1324,,alt/1224,,furniture,"Container,5,4,crate",,,,120000,,,log/1,cedar,container,,,
1171,furniture,頑丈な宝箱,,sturdy treasure chest,,1328,,alt/1329,,furniture,"Container,7,5,crate",,,,200000,,,log/1,cedar,container,,,
985,furniture,舵,,rudder,,"1653,-1653,1753,-1753",,,,furniture,,,,,,,,log/1,oak,,,,
1012,furniture,台座,,pedestal,,1201,,,,furniture,,,,,,,,ingot,iron,deco,,,
837,furniture,財宝,,treasure,,1725,,,,furniture,,,,,,,,ingot,gold,deco,,,
1232,furniture,プレゼントの山,,gift box,pile,1733,,,,furniture,,,0,,,,,texture,paper,deco,,,
845,furniture,剣のレプリカ,,sword replica,,1512,,,,furniture,,,,,,,,ingot,iron,deco,,,
846,furniture,斧のレプリカ,,axe replica,,1513,,,,furniture,,,,,,,,ingot,iron,deco,,,
847,furniture,メイスのレプリカ,,mace replica,,1514,,,,furniture,,,,,,,,ingot,iron,deco,,,
862,furniture,係留ロープ,,mooring rope,,2844,,,,furniture,,,,,,,,,,ext,,,
863,furniture,錨,,anchor,,2845,,,,furniture,,,,,,,,,,ext,,,
891,furniture,廃材,,scrap,,1900,,,,furniture,,1,,160,,*,factory_metal,scrap/2,copper,ext,,,
892,furniture,廃材,,scrap,,1901,,,,furniture,,1,,120,,*,factory_wood,log,cedar,ext,,,
1055,furniture,棚,,shelf,,1218,,,,furniture,"Container,5,4,crate",,,,,,,log,oak,container,,,
1140,furniture,棚,,shelf,,1217,,,,furniture,"Container,5,4,crate",,,,,,,log,oak,container,,,
1141,furniture,棚,,shelf,,1216,,,,furniture,"Container,5,4,crate",,,,,,,log,oak,container,exotic,,
1260,furniture,棚,,shelf,,1858,,,,furniture,"Container,5,4,crate",,,,,,,log,oak,container,,,
1261,furniture,棚,,shelf,,1859,,,,furniture,"Container,5,4,crate",,,,,,,log,oak,container,,,
1250,furniture,棚,,shelf,,1854,,,,furniture,"Container,5,4,crate",,,,,,,log,oak,container,,,
1067,furniture,棚,,shelf,,1726,,,,furniture,,,,,,,,log,oak,,,,
1249,furniture,棚,,shelf,,1853,,,,furniture,,,,,,,,log,oak,,,,
1251,furniture,トレーニングマシーン,,training machine,,1855,,,,furniture,,40,100,8000,,,,ingot,steel,,,,
870,furniture,放浪者の屍,,wanderer,corpse,"652,-652,653,-653",,,,furniture,,,,,,,,,bone,ext,,,
1138,furniture,刀,,katana,,1656,,,,furniture,,,,,,,,,pine,deco,exotic,,
1108,furniture,パイプ,,pipe,,3604,,,,furniture,,18,,550,,,factory_metal,"ingot/2,bolt",copper,mech,,,
1109,furniture,パイプ,,pipe,,3605,,,,furniture,,18,,550,,,factory_metal,"ingot/2,bolt",copper,mech,,,
1110,furniture,パイプ,,pipe,,3606,,,,furniture,,18,,550,,,factory_metal,"ingot/2,bolt",copper,mech,,,
1058,furniture,氷の彫像,,ice statue,,1339,,,,furniture,,,0,,,,,rock,ice,deco,,,
1059,furniture,氷の彫像,,ice statue,,1340,,,,furniture,,,0,,,,,rock,ice,deco,,,
1064,furniture,氷の彫像,,ice statue,,1341,,,,furniture,,,0,,,,,rock,ice,deco,,,
1194,furniture,土の山,,dirt,mountain,1108,,,,furniture,,,,200,,,,chunk,mud,ext,,,
1195,furniture,土の山,,dirt,mountain,1109,,,,furniture,,,,100,,,,chunk,mud,ext,,,
1196,furniture,鉱石の山,,ores,mountain,1110,,,,furniture,,,,500,,,,ore,lapis,ext,,,
1197,furniture,土の山,,dirt,mountain,1107,,,,furniture,,,,200,,,,chunk,mud,ext,,,
1199,furniture,丸太の山,,logs,mountain,"1113,-1113,1114,-1114",,,,furniture,,,,200,,,,log/5,oak,ext,,,
beachnet,furniture,ネット,,net,,2030,,,,furniture,,,,,,,,texture,dusk,ext,,,
1060,furniture,屋根,,roof,,3003,,,,furniture,,,,,,,,dye,topaz,ext,,,
1061,furniture,屋根,,roof,,3103,,,,furniture,,,,,,,,dye,topaz,ext,,,
1112,furniture,屋根,,roof,,3006,,,,furniture,,,,,,,,dye,lapis,ext,,,
1113,furniture,屋根,,roof,,3106,,,,furniture,,,,,,,,dye,lapis,ext,,,
1202,furniture,屋根,,roof,,3111,,,,furniture,,,,,,,,plank/10,oak,ext,,,
1293,furniture,かがり火台,,brazier,,1005,-3,,,furniture,,26,,,,,factory_stone,"cutstone/5,bonfire",chromite,deco,randomSkin,,
1292,furniture_big,台座,,pedestal,,1004,,,,furniture,,19,,,,,factory_stone,cutstone/4,chromite,deco,,,
1129,furniture_big,台座,,pedestal,,"1203,1204",,,,furniture,,19,,,,,factory_stone,cutstone/4,marble,deco,,,
1219,furniture_big,台座,,pedestal,,1214,,,,furniture,,19,,,,,factory_stone,cutstone/4,granite,deco,,,
1147,furniture_big,地袋,,cupboard,,1205,,,,furniture,,,,,,,,log,oak,deco,,,
1009,furniture_big,書見台,,lectern,,1220,,,,furniture,,,,,,,,log,oak,_furniture,,,
1056,furniture_big,書見台,,lectern,,1221,,,,furniture,,,,,,,,log,oak,_furniture,,,
1299,furniture_big,書見台,,lectern,,1320,,,,furniture,,,,,,,,log,oak,_furniture,,,
1183,furniture,ラック,,rack,,1222,,,,furniture,,,,,,,,log,oak,_furniture,,,
470,furniture_big,大きな箱,,big crate,,1400,,alt/1300,,furniture,"Container,5,4,crate",,,,,,,log/1,oak,container,,,
461,furniture_big,荷車,,cart,,2829,,,,furniture,,,,,,,,,,ext,,,
744,furniture_big,積み荷,,cargo,,1641,,,,furniture,,,,,,,,log/1,oak,,,,
745,furniture_big,積み荷,,cargo,,1642,,,,furniture,,,,,,,,log/1,oak,,,,
746,furniture_big,積み荷,,cargo,,1643,,,,furniture,,,,,,,,texture,,,,,
747,furniture_big,積み荷,,cargo,,1644,,,,furniture,,,,,,,,texture,,,,,
462,furniture_big,藁の束,,wheat stack,,1626,,,,furniture,"Bed,4",9,,,,,factory_wood,pasture/20,straw,ext,,,
1167,furniture_big,藁の束,,straw bale,,1727,,,,furniture,"Bed,4",9,,,,,factory_wood,pasture/30,straw,ext,,,
626,furniture_float,洗濯ロープ,,laundry rope,,2513,,,,furniture,,,,,,,,,,,,,
627,furniture_float,洗濯もの干し,,laundry,,2514,,,,furniture,,,,,,,,,,,,,
628,furniture_float,洗濯もの干し,,laundry,,2515,,,,furniture,,,,,,,,,,,,,
629,furniture_float,洗濯もの干し,,laundry,,2516,,,,furniture,,,,,,,,,,,,,
630,furniture_float,洗濯ロープ,,laundry rope,,2517,,,,furniture,,,,,,,,,,,,,
631,furniture_float,洗濯もの干し,,laundry,,2518,,,,furniture,,,,,,,,,,,,,
632,furniture_float,洗濯もの干し,,laundry,,2519,,,,furniture,,,,,,,,,,,,,
633,furniture_float,洗濯もの干し,,laundry,,2520,,,,furniture,,,,,,,,,,,,,
715,furniture_float,吊るされた肉,,hung meat,,2521,,,,furniture,,,,,,,,,,,,,
716,furniture_float,吊るされた肉,,hung meat,,2522,,,,furniture,,,,,,,,,,,,,
717,furniture_float,吊るされた肉,,hung meat,,2523,,,,furniture,,,,,,,,,,,,,
1008,furniture_float,祭りの旗,,festival flag,,2526,,anime/3/600,,furniture,,,,,,,,dye,rubinus,,,,
1078,furniture_float,祭りの旗,,festival flag,,2529,,anime/3/600,,furniture,,,,,,,,dye,rubinus,,,,
1105,furniture_float,パイプ,,pipe,,3601,,,,furniture,,12,,300,,,factory_metal,"ingot,bolt",copper,mech,,,
1106,furniture_float,パイプ,,pipe,,3602,,,,furniture,,12,,300,,,factory_metal,"ingot,bolt",copper,mech,,,
1107,furniture_float,パイプ,,pipe,,3603,,,,furniture,,12,,300,,,factory_metal,"ingot,bolt",copper,mech,,,
1137,furniture_float,自在鉤,,pot hook,,3607,,,,furniture,,,,,,,,log/1,carbone,deco,exotic,,
490,furniture_huge,大きな柱,,big pillar,,625,,,,furniture,,,,,,,,rock/1,granite,ext,,,
723,furniture_huge,大きな柱,,big pillar,,622,,,,furniture,,,,,,,,rock/1,granite,ext,,,
724,furniture_huge,支柱,,pillar,,630,,,,furniture,,,,,,,,rock/1,granite,ext,,,
491,furniture_huge,壊れた柱,,broken pillar,,"626,627,628",,,,furniture,,,,,,,,rock/1,granite,ext,,,
1248,furniture_huge,壊れた柱,,broken pillar,,522,,,,furniture,,,,,,,,rock/1,granite,ext,,,
565,furniture_huge,大きな柱,,big pillar,,631,,,,furniture,,,,,,,,rock/1,granite,ext,,,
1182,furniture_huge,枯れた噴水,,dried fountain,,1931,,,,furniture,,,,,,,,rock/1,granite,ext,,,
562,furniture_pole,,,,,620,,,,furniture,,,,,,,,,,ext,,,
